B 	C	Frequency
702	702	97.0%
702	1203	0.6%
702	701	0.5%
702	304	0.5%
702	1505	0.4%
702	303	0.2%
702	401	0.2%
702	202	0.2%
702	501	0.1%
702	602	0.1%
702	07AG	0.1%
702	1402	0.1%
702	802	0.1%
702	710	0.1%
704	702	100.0%
705	1505	72.2%
705	702	16.7%
705	401	2.8%
705	501	2.8%
705	1502	2.8%
705	701	2.8%
715	702	100.0%
721	702	100.0%
0705/06	1505	77.8%
0705/06	702	11.1%
0705/06	401	11.1%
801	701	91.9%
801	07AG	6.2%
801	702	0.8%
801	304	0.3%
801	602	0.3%
801	401	0.2%
801	102	0.1%
801	501	0.1%
801	1601	0.1%
801	707	0.1%
805	701	100.0%
1301	304	42.8%
1301	702	19.4%
1301	102	17.8%
1301	403	10.0%
1301	401	10.0%
1302	602	97.1%
1302	304	0.8%
1302	303	0.7%
1302	401	0.5%
1302	07AG	0.3%
1302	804	0.3%
1302	1203	0.3%
1401	802	97.3%
1401	1505	1.8%
1401	501	0.9%
1402	802	97.6%
1402	202	1.3%
1402	1505	0.5%
1402	1601	0.3%
1402	704	0.3%
1501	303	48.4%
1501	304	37.9%
1501	401	6.4%
1501	102	4.5%
1501	702	0.6%
1501	602	0.6%
1501	501	0.4%
1501	801	0.3%
1501	1203	0.3%
1501	704	0.2%
1501	701	0.2%
1501	17AB	0.1%
1501	202	0.1%
1502	801	100.0%
1503	202	88.6%
1503	1203	6.8%
1503	401	2.3%
1503	704	2.3%
1504	102	100.0%
1505	702	100.0%
1507	303	76.9%
1507	102	23.1%
1510	304	85.7%
1510	302	9.5%
1510	701	4.8%
1511	102	50.0%
1511	303	50.0%
1512	303	100.0%
1513	801	100.0%
1514	303	100.0%
1515	102	100.0%
1516	1402	77.8%
1516	1601	22.2%
1517	701	83.5%
1517	07AG	10.5%
1517	501	5.9%
1518	704	89.7%
1518	801	6.9%
1518	303	3.4%
1522	102	78.1%
1522	1601	21.9%
1524	303	100.0%
1525	403	100.0%
1527	401	100.0%
1530	102	100.0%
1535	702	100.0%
1537	304	100.0%
1539	801	100.0%
1546	303	100.0%
1801	701	37.2%
1801	1203	29.7%
1801	501	28.0%
1801	202	1.4%
1801	07AG	1.2%
1801	704	0.5%
1801	401	0.3%
1801	07ET	0.3%
1801	602	0.3%
1801	702	0.2%
1801	1502	0.2%
1801	303	0.2%
1801	102	0.2%
1801	1205	0.2%
1801	304	0.2%
1802	704	100.0%
1803	701	88.7%
1803	202	11.3%
1808	1203	100.0%
2702	202	86.1%
2702	501	4.8%
2702	1502	2.4%
2702	401	2.4%
2702	602	2.4%
2702	701	1.9%
2704	1202	50.0%
2704	801	50.0%
2705	202	49.3%
2705	102	43.6%
2705	303	2.1%
2705	501	1.1%
2705	702	1.1%
2705	1502	0.7%
2705	401	0.5%
2705	704	0.5%
2705	304	0.3%
2705	701	0.3%
2705	203	0.2%
2705	1203	0.2%
2706	801	100.0%
2707	1502	100.0%
2708	602	100.0%
2710	1502	100.0%
3501	401	90.6%
3501	303	3.7%
3501	702	1.3%
3501	304	1.0%
3501	404	1.0%
3501	1601	0.5%
3501	1502	0.5%
3501	1203	0.3%
3501	704	0.3%
3501	102	0.2%
3501	202	0.1%
3501	1602	0.1%
3501	802	0.1%
3501	07AG	0.1%
3501	405	0.1%
3502	401	93.6%
3502	602	3.2%
3502	202	1.6%
3502	704	0.8%
3502	17AB	0.8%
3503	401	75.8%
3503	1203	19.5%
3503	702	1.6%
3503	304	1.0%
3503	602	1.0%
3503	1601	0.5%
3503	704	0.5%
3504	401	100.0%
3505	401	100.0%
3506	304	100.0%
3508	401	98.2%
3508	304	1.8%
3512	401	100.0%
3514	401	100.0%
3516	401	100.0%
3517	401	100.0%
3520	401	100.0%
3522	401	100.0%
3531	305	100.0%
3543	102	100.0%
3701	602	98.2%
3701	303	0.6%
3701	702	0.6%
3701	304	0.6%
3801	1203	97.9%
3801	102	0.8%
3801	602	0.8%
3801	1206	0.4%
3802	702	100.0%
3901	1203	49.9%
3901	702	43.3%
3901	1502	2.5%
3901	602	0.9%
3901	401	0.9%
3901	102	0.8%
3901	202	0.8%
3901	303	0.8%
3902	702	100.0%
3903	701	85.7%
3903	07AG	14.3%
3905	702	100.0%
3906	702	95.9%
3906	1502	1.4%
3906	07AG	1.4%
3906	304	1.3%
3908	702	100.0%
3909	702	200.0%
3910	1203	100.0%
3911	702	100.0%
4001	304	96.2%
4001	702	1.4%
4001	401	0.7%
4001	303	0.3%
4001	1402	0.3%
4001	501	0.2%
4001	602	0.1%
4001	1502	0.1%
4001	310	0.1%
4001	308	0.1%
4001	801	0.1%
4001	07AG	0.1%
4001	1203	0.1%
4002	202	64.2%
4002	304	18.4%
4002	1502	6.3%
4002	306	3.7%
4002	501	1.8%
4002	702	1.6%
4002	305	1.6%
4002	704	1.4%
4002	701	0.5%
4002	401	0.5%
4004	304	100.0%
4005	304	75.0%
4005	801	25.0%
4006	1502	62.4%
4006	801	18.8%
4006	1202	12.5%
4006	303	6.3%
4008	304	75.0%
4008	202	25.0%
4011	304	100.0%
4101	1701	64.6%
4101	07AG	10.4%
4101	701	6.3%
4101	17AB	6.3%
4101	1602	6.3%
4101	802	4.2%
4101	602	2.1%
4102	1701	84.4%
4102	17AB	11.1%
4102	401	2.2%
4102	602	2.2%
4102	1703	F1149 & C256
4201	1701	78.0%
4201	17AB	19.5%
4201	07AG	2.4%
4202	1701	100.0%
4402	501	84.4%
4402	704	10.2%
4402	202	1.2%
4402	1604	0.8%
4402	07ET	0.7%
4402	1203	0.7%
4402	304	0.4%
4402	303	0.3%
4402	602	0.3%
4402	401	0.3%
4402	1402	0.2%
4402	701	0.1%
4402	102	0.1%
4402	07AG	0.1%
4402	1502	0.1%
4402	1505	0.1%
4402	1602	0.1%
4402	306	0.0%
4403	1601	63.4%
4403	401	28.8%
4403	701	2.5%
4403	202	1.4%
4403	1403	1.3%
4403	1602	0.6%
4403	501	0.5%
4403	303	0.4%
4403	702	0.3%
4403	07AG	0.3%
4403	1402	0.1%
4403	1202	0.1%
4403	802	0.1%
4403	102	0.1%
4404	1601	100.0%
4405	202	95.4%
4405	1203	4.6%
4407	701	100.0%
4501	602	75.9%
4501	1601	22.1%
4501	501	1.0%
4501	1505	1.0%
4601	102	97.6%
4601	801	2.4%
4701	602	100.0%
4801	801	56.0%
4801	803	28.0%
4801	304	8.0%
4801	1502	4.0%
4801	303	4.0%
4803	801	100.0%
4806	801	100.0%
4806	803	100.0%
4901	701	87.7%
4901	07AG	6.3%
4901	1203	1.2%
4901	202	1.1%
4901	602	1.1%
4901	501	0.6%
4901	401	0.6%
4901	1502	0.6%
4901	709	0.6%
4901	304	0.3%
4901	702	n=3 in MG Navy
5001	602	96.9%
5001	202	1.5%
5001	401	0.8%
5001	1203	0.8%
5101	1502	35.1%
5101	1402	21.5%
5101	202	9.2%
5101	102	8.6%
5101	401	4.5%
5101	1602	4.2%
5101	303	3.2%
5101	1601	3.1%
5101	501	2.5%
5101	702	2.4%
5101	701	1.3%
5101	1203	1.0%
5101	304	1.0%
5101	1504	0.7%
5101	602	0.4%
5101	1505	0.3%
5101	1506	0.3%
5101	07AG	0.2%
5101	1509	0.2%
5101	1503	0.2%
5102	801	50.0%
5102	1402	33.3%
5102	1502	16.7%
5105	401	100.0%
5107	1402	100.0%
5108	1602	100.0%
5109	102	100.0%
5201	1202	84.1%
5201	1601	8.4%
5201	303	4.8%
5201	401	1.2%
5201	202	0.8%
5201	1502	0.8%
5301	401	91.1%
5301	602	5.7%
5301	1601	1.3%
5301	701	1.0%
5301	802	0.9%
5401	102	100.0%
5501	303	85.3%
5501	102	11.7%
5501	304	2.8%
5501	702	0.2%
5502	102	66.7%
5502	303	16.7%
5502	1203	16.7%
5601	102	94.6%
5601	702	4.6%
5601	304	0.8%
5602	102	100.0%
5701	602	95.1%
5701	701	3.8%
5701	303	0.7%
5701	603	0.2%
5701	702	0.2%
5702	1801	57.1%
5702	401	28.6%
5702	701	14.3%
5703	701	56.7%
5703	1801	16.7%
5703	18AB	10.0%
5703	602	10.0%
5703	401	3.3%
5703	1701	3.3%
5801	701(0706)	54.1%
5801	302	38.5%
5801	702	0.9%
5801	1601	0.9%
5801	304	0.9%
5801	802	0.9%
5801	602	0.9%
5802	602	87.0%
5802	401	13.0%
5901	102	100.0%
6701	702	66.7%
6701	1203	33.3%
7301	1505	100.0%
8101	804	50.0%
8101	1801	25.0%
8101	802	12.5%
8101	18AB	12.5%
