DRB1	DQA1	DQB1	Freq. Overall
0101	0101	0501	very common
0101	0102	0504	rare
0102	0101	0501	very common
0103	0101	0501	common
0103	0501/3/5	0301	common
0301	0102	0602	extremely rare
0301	0501/3/5	0201	very common
0302	0401	0402	common
0302	0501/3/5	0201	extremely rare
0401	0301	0302	very common
0401	0302/3	0301	very common
0401	0302/3	0302	intermediate
0402	0301	0302	common
0403	03	0305	rare
0403	0301	0302	common
0403	0301	0304	intermediate
0403	0301	0304	rare
0404	0301	0302	very common
0404	0301	0402	rare
0405	0103	0503	common in Philippino
0405	0302/3	0202	intermediate/rare
0405	0302/3	0302	common
0405	0302/3	0401	very common
0405	0501/3/5	0301	rare
0406	0301	0302	very common
0406	0301	0402	rare
0407	0301	0302	very common
0407	0302/3	0301	common
0408	0302/3	0301	common
0409	0302/3	0301	rare
0410	0301	0402	common
0411	0301	0302	very common
0411	0301	0402	rare
0701	0201	0202	very common
0701	0201	0303	common
0701	0302/3	0202	very rare
0801	0301	0302	rare
0801	0401	0402	very common
0802	0301	0302	very rare
0802	0401	0402	very common
0803	0103	0601	very common
0803	0601	0301	common
0804	0102	0602	extremely rare
0804	0401	0301	very common
0804	0401	0402	common
0804	0501/3/5	0301	common
0804	0501/3/5	0301	common
0806	0102	0602	common
0806	0501/3/5	0301	extremely rare
0809	0302/3	0303	extremely rare
0901	0302/3	0202	very common african
0901	0302/3	0303	very common
1001	0104	0501	common
1101	0102	0502	rare
1101	0102	0602	very common
1101	0302/3	0202 	rare
1101	0501/3/5	0301	very common
1102	0302/3	0202 	rare
1102	0501/3/5	0301	common
1103	0501/3/5	0301	common
1104	0103	0603	intermediate/rare
1104	0501/3/5	0301	very common
1201	0104	0501	common
1201	0501/3/5	0301	very common
1202	0302/3	0303	rare
1202	0601	0301	very common
1301	0103	0603	very common
1301	0302/3	0303	rare
1302	0102	0501	intermediate/rare
1302	0102	0604	very common
1302	0102	0609	very common
1303	0201	0202	common
1303	03	0302	extremely rare
1303	0501/3/5	0301	very common
1304	0501/3/5	0301	common
1305	0501/3/5	0301	intermediate/rare
1401	0102	0602	rare
1401	0104	0501	rare
1401	0104	0502	common
1401	0104	0503	very common
1402	0301	0302	rare
1402	0501/3/5	0301	very common
1403	0501/3/5	0301	common
1404	0104	0502	intermediate/rare
1404	0104	0503	common
1405	0104	0503	common 
1406	0501/3/5	0301	common
1424	0201	0202	rare
1501	0102	0602	very common
1501	0102	0603	rare
1502	0103	0601	very common/common
1503	0102	0501	rare
1503	0102	0602	very common
1503	0302/3	0202 	rare
1601	0102	0502	common
1602	0102	0502	common
1602	0501/3/5	0301	common
